subjectId	activity	activityLabels
1	WALKING	1
1	WALKING_UPSTAIRS	2
1	WALKING_DOWNSTAIRS	3
1	SITTING	4
1	STANDING	5
1	LAYING	6
2	WALKING	1
2	WALKING_UPSTAIRS	2
2	WALKING_DOWNSTAIRS	3
2	SITTING	4
2	STANDING	5
2	LAYING	6
3	WALKING	1
3	WALKING_UPSTAIRS	2
3	WALKING_DOWNSTAIRS	3
3	SITTING	4
3	STANDING	5
3	LAYING	6
4	WALKING	1
4	WALKING_UPSTAIRS	2
4	WALKING_DOWNSTAIRS	3
4	SITTING	4
4	STANDING	5
4	LAYING	6
5	WALKING	1
5	WALKING_UPSTAIRS	2
5	WALKING_DOWNSTAIRS	3
5	SITTING	4
5	STANDING	5
5	LAYING	6
6	WALKING	1
6	WALKING_UPSTAIRS	2
6	WALKING_DOWNSTAIRS	3
6	SITTING	4
6	STANDING	5
6	LAYING	6
7	WALKING	1
7	WALKING_UPSTAIRS	2
7	WALKING_DOWNSTAIRS	3
7	SITTING	4
7	STANDING	5
7	LAYING	6
8	WALKING	1
8	WALKING_UPSTAIRS	2
8	WALKING_DOWNSTAIRS	3
8	SITTING	4
8	STANDING	5
8	LAYING	6
9	WALKING	1
9	WALKING_UPSTAIRS	2
9	WALKING_DOWNSTAIRS	3
9	SITTING	4
9	STANDING	5
9	LAYING	6
10	WALKING	1
10	WALKING_UPSTAIRS	2
10	WALKING_DOWNSTAIRS	3
10	SITTING	4
10	STANDING	5
10	LAYING	6
11	WALKING	1
11	WALKING_UPSTAIRS	2
11	WALKING_DOWNSTAIRS	3
11	SITTING	4
11	STANDING	5
11	LAYING	6
12	WALKING	1
12	WALKING_UPSTAIRS	2
12	WALKING_DOWNSTAIRS	3
12	SITTING	4
12	STANDING	5
12	LAYING	6
13	WALKING	1
13	WALKING_UPSTAIRS	2
13	WALKING_DOWNSTAIRS	3
13	SITTING	4
13	STANDING	5
13	LAYING	6
14	WALKING	1
14	WALKING_UPSTAIRS	2
14	WALKING_DOWNSTAIRS	3
14	SITTING	4
14	STANDING	5
14	LAYING	6
15	WALKING	1
15	WALKING_UPSTAIRS	2
15	WALKING_DOWNSTAIRS	3
15	SITTING	4
15	STANDING	5
15	LAYING	6
16	WALKING	1
16	WALKING_UPSTAIRS	2
16	WALKING_DOWNSTAIRS	3
16	SITTING	4
16	STANDING	5
16	LAYING	6
17	WALKING	1
17	WALKING_UPSTAIRS	2
17	WALKING_DOWNSTAIRS	3
17	SITTING	4
17	STANDING	5
17	LAYING	6
18	WALKING	1
18	WALKING_UPSTAIRS	2
18	WALKING_DOWNSTAIRS	3
18	SITTING	4
18	STANDING	5
18	LAYING	6
19	WALKING	1
19	WALKING_UPSTAIRS	2
19	WALKING_DOWNSTAIRS	3
19	SITTING	4
19	STANDING	5
19	LAYING	6
20	WALKING	1
20	WALKING_UPSTAIRS	2
20	WALKING_DOWNSTAIRS	3
20	SITTING	4
20	STANDING	5
20	LAYING	6
21	WALKING	1
21	WALKING_UPSTAIRS	2
21	WALKING_DOWNSTAIRS	3
21	SITTING	4
21	STANDING	5
21	LAYING	6
22	WALKING	1
22	WALKING_UPSTAIRS	2
22	WALKING_DOWNSTAIRS	3
22	SITTING	4
22	STANDING	5
22	LAYING	6
23	WALKING	1
23	WALKING_UPSTAIRS	2
23	WALKING_DOWNSTAIRS	3
23	SITTING	4
23	STANDING	5
23	LAYING	6
24	WALKING	1
24	WALKING_UPSTAIRS	2
24	WALKING_DOWNSTAIRS	3
24	SITTING	4
24	STANDING	5
24	LAYING	6
25	WALKING	1
25	WALKING_UPSTAIRS	2
25	WALKING_DOWNSTAIRS	3
25	SITTING	4
25	STANDING	5
25	LAYING	6
26	WALKING	1
26	WALKING_UPSTAIRS	2
26	WALKING_DOWNSTAIRS	3
26	SITTING	4
26	STANDING	5
26	LAYING	6
27	WALKING	1
27	WALKING_UPSTAIRS	2
27	WALKING_DOWNSTAIRS	3
27	SITTING	4
27	STANDING	5
27	LAYING	6
28	WALKING	1
28	WALKING_UPSTAIRS	2
28	WALKING_DOWNSTAIRS	3
28	SITTING	4
28	STANDING	5
28	LAYING	6
29	WALKING	1
29	WALKING_UPSTAIRS	2
29	WALKING_DOWNSTAIRS	3
29	SITTING	4
29	STANDING	5
29	LAYING	6
30	WALKING	1
30	WALKING_UPSTAIRS	2
30	WALKING_DOWNSTAIRS	3
30	SITTING	4
30	STANDING	5
30	LAYING	6
